state,beds_nonicu,util_nonicu,beds_icu,util_icu,vent,util_vent
Malaysia,30860,55.77770576798444,893,57.55879059350504,2176,29.963235294117645
Johor,2104,26.330798479087452,65,58.46153846153847,174,25.862068965517242
Kedah,2531,78.86210983800869,64,75,166,37.34939759036144
Kelantan,1805,32.5207756232687,80,48.75,133,38.34586466165413
Melaka,1269,80.22064617809299,58,68.96551724137932,123,41.46341463414634
Negeri Sembilan,1209,66.66666666666666,26,0,158,0
Pahang,1342,72.80178837555886,37,67.56756756756756,78,41.02564102564102
Perak,3232,69.86386138613861,100,24,185,24.864864864864867
Perlis,491,83.09572301425662,21,71.42857142857143,28,35.714285714285715
Pulau Pinang,1877,35.21576984549814,39,61.53846153846154,109,32.11009174311927
Sabah,2313,75.14051015996542,96,71.875,132,55.3030303030303
Sarawak,3486,61.84738955823293,101,56.43564356435643,220,38.18181818181819
Selangor,4672,45.01284246575342,117,53.84615384615385,407,20.14742014742015
Terengganu,1379,76.50471356055112,29,72.41379310344827,88,42.04545454545455
W.P. Kuala Lumpur,2268,25.749559082892414,34,100,92,35.869565217391305
W.P. Labuan,115,0,7,28.57142857142857,46,2.1739130434782608
W.P. Putrajaya,767,40.67796610169492,19,78.94736842105263,37,27.027027027027028
